itemId,restaurantId,itemName,description,price,budgetCategory,cuisine,isVeg,spicinessLevel
M351,R32,Chicken Kuzhambu,Spicy chicken gravy,200,medium,Traditional Tamil,false,3
M352,R32,Mutton Kuzhambu,Spicy mutton gravy,280,high,Traditional Tamil,false,4
M353,R32,Fish Kuzhambu,Traditional fish curry,220,medium,Traditional Tamil,false,3
M354,R32,Egg Kuzhambu,Egg in spicy gravy,160,medium,Traditional Tamil,false,3
M355,R32,Prawn Curry,Spicy prawn curry,250,high,Traditional Tamil,false,3
M356,R32,Chicken Fry,Spicy fried chicken,210,medium,Traditional Tamil,false,4
M357,R32,Fish Fry,Crispy fried fish,190,medium,Traditional Tamil,false,3
M358,R32,Mutton Fry,Spicy fried mutton,290,high,Traditional Tamil,false,4
M359,R32,Prawn Fry,Spicy fried prawns,240,high,Traditional Tamil,false,4
M360,R32,Chicken Biryani,Sattur-style chicken biryani,210,high,Traditional Tamil,false,3

M361,R33,Paneer Butter Masala,Creamy cottage cheese curry,200,medium,Multi-cuisine,true,1
M362,R33,Chicken Fried Rice,Chicken fried rice,180,medium,Multi-cuisine,false,1
M363,R33,Veg Fried Rice,Vegetable fried rice,150,medium,Multi-cuisine,true,1
M364,R33,Chicken Manchurian,Indo-Chinese chicken,220,medium,Multi-cuisine,false,2
M365,R33,Gobi Manchurian,Cauliflower in spicy sauce,170,medium,Multi-cuisine,true,2
M366,R33,Chicken Noodles,Chicken noodles,190,medium,Multi-cuisine,false,1
M367,R33,Veg Noodles,Vegetable noodles,160,medium,Multi-cuisine,true,1
M368,R33,Chicken Tikka,Grilled chicken pieces,230,high,Multi-cuisine,false,2
M369,R33,Paneer Tikka,Grilled cottage cheese,200,medium,Multi-cuisine,true,1
M370,R33,Mixed Fried Rice,Chicken and egg fried rice,210,medium,Multi-cuisine,false,1

M371,R34,South Indian Meals,Traditional full meals,140,medium,South Indian,true,2
M372,R34,Chicken Curry,Spicy chicken curry,200,medium,South Indian,false,3
M373,R34,Mutton Curry,Spicy mutton curry,270,high,South Indian,false,4
M374,R34,Fish Curry,Traditional fish curry,210,medium,South Indian,false,3
M375,R34,Egg Curry,Boiled eggs in gravy,160,medium,South Indian,false,3
M376,R34,Prawn Curry,Spicy prawn curry,250,high,South Indian,false,3
M377,R34,Chicken Fry,Spicy fried chicken,220,medium,South Indian,false,4
M378,R34,Fish Fry,Crispy fried fish,200,medium,South Indian,false,3
M379,R34,Chicken Biryani,Virudhunagar-style chicken biryani,220,high,South Indian,false,3
M380,R34,Mutton Biryani,Virudhunagar-style mutton biryani,280,high,South Indian,false,3

M381,R35,Idli Vada,Steamed cakes with fried donuts,85,low,South Indian,true,1
M382,R35,Dosa Plain,Plain crispy crepe,75,low,South Indian,true,0
M383,R35,Masala Dosa,Stuffed potato crepe,115,medium,South Indian,true,1
M384,R35,Uttapam,Thick vegetable pancake,95,low,South Indian,true,1
M385,R35,Pongal Venn,Rice and lentil porridge,85,low,South Indian,true,0
M386,R35,Sambar Vada,Lentil donuts in curry,80,low,South Indian,true,1
M387,R35,Coconut Chutney,Fresh coconut condiment,25,low,South Indian,true,0
M388,R35,Filter Coffee,Traditional coffee,35,low,South Indian,true,0
M389,R35,Lemon Rice,Tangy lemon rice,75,low,South Indian,true,1
M390,R35,Curd Rice,Yogurt rice,60,low,South Indian,true,0

M391,R36,Chicken Chettinad,Spicy Chettinad chicken,260,high,Chettinad,false,4
M392,R36,Mutton Chettinad,Spicy Chettinad mutton,320,high,Chettinad,false,4
M393,R36,Fish Chettinad,Spicy Chettinad fish,280,high,Chettinad,false,4
M394,R36,Prawn Chettinad,Spicy Chettinad prawns,300,high,Chettinad,false,4
M395,R36,Egg Chettinad,Spicy Chettinad egg curry,190,medium,Chettinad,false,4
M396,R36,Pepper Chicken,Black pepper chicken,250,high,Chettinad,false,4
M397,R36,Kola Urundai,Spicy meat balls,210,medium,Chettinad,false,4
M398,R36,Chettinad Biryani,Aromatic spiced biryani,290,high,Chettinad,false,3
M399,R36,Chicken Roast,Dry roasted chicken,240,high,Chettinad,false,4
M400,R36,Mutton Pepper Fry,Spicy mutton with pepper,310,high,Chettinad,false,4

M401,R37,Chicken Curry,Traditional chicken curry,190,medium,South Indian,false,3
M402,R37,Mutton Curry,Spicy mutton curry,260,high,South Indian,false,4
M403,R37,Fish Curry,Home-style fish curry,200,medium,South Indian,false,3
M404,R37,Egg Curry,Simple egg curry,150,medium,South Indian,false,2
M405,R37,Vegetable Curry,Mixed vegetable curry,110,medium,South Indian,true,1
M406,R37,Dal Curry,Yellow lentil curry,80,low,South Indian,true,1
M407,R37,Chicken Fry,Spicy fried chicken,210,medium,South Indian,false,4
M408,R37,Fish Fry,Crispy fried fish,190,medium,South Indian,false,3
M409,R37,Chicken Biryani,Sivakasi-style chicken biryani,210,high,South Indian,false,3
M410,R37,Prawn Curry,Spicy prawn curry,240,high,South Indian,false,3

M411,R38,Paneer Makhani,Rich paneer curry,220,medium,Multi-cuisine,true,1
M412,R38,Chicken Butter Masala,Creamy chicken curry,250,high,Multi-cuisine,false,2
M413,R38,Dal Makhani,Creamy black lentil curry,170,medium,Multi-cuisine,true,1
M414,R38,Chicken Fried Rice,Chicken fried rice,190,medium,Multi-cuisine,false,1
M415,R38,Veg Fried Rice,Vegetable fried rice,160,medium,Multi-cuisine,true,1
M416,R38,Chicken Manchurian,Indo-Chinese chicken,230,high,Multi-cuisine,false,2
M417,R38,Gobi Manchurian,Cauliflower in sauce,180,medium,Multi-cuisine,true,2
M418,R38,Naan Butter,Buttered Indian bread,70,low,Multi-cuisine,true,0
M419,R38,Chicken Tikka,Grilled chicken pieces,240,high,Multi-cuisine,false,2
M420,R38,Jeera Rice,Cumin flavored rice,110,medium,Multi-cuisine,true,0

M421,R39,South Indian Meals,Traditional full meals,130,medium,South Indian,true,2
M422,R39,Chicken Curry,Spicy chicken curry,180,medium,South Indian,false,3
M423,R39,Mutton Curry,Spicy mutton curry,250,high,South Indian,false,4
M424,R39,Fish Curry,Traditional fish curry,190,medium,South Indian,false,3
M425,R39,Egg Curry,Boiled eggs in gravy,140,medium,South Indian,false,3
M426,R39,Vegetable Curry,Mixed vegetable curry,100,medium,South Indian,true,1
M427,R39,Dal Curry,Yellow lentil curry,70,low,South Indian,true,1
M428,R39,Chicken Fry,Spicy fried chicken,200,medium,South Indian,false,4
M429,R39,Fish Fry,Crispy fried fish,180,medium,South Indian,false,3
M430,R39,Chicken Biryani,Rajapalayam-style chicken biryani,200,medium,South Indian,false,3

M431,R40,Chicken Kuzhambu,Spicy chicken gravy,190,medium,Traditional Tamil,false,3
M432,R40,Mutton Kuzhambu,Spicy mutton gravy,270,high,Traditional Tamil,false,4
M433,R40,Fish Kuzhambu,Traditional fish curry,210,medium,Traditional Tamil,false,3
M434,R40,Egg Kuzhambu,Egg in spicy gravy,150,medium,Traditional Tamil,false,3
M435,R40,Vegetable Kuzhambu,Mixed vegetable curry,120,medium,Traditional Tamil,true,2
M436,R40,Sambar,Lentil and vegetable stew,70,low,Traditional Tamil,true,2
M437,R40,Rasam,Spiced tamarind soup,50,low,Traditional Tamil,true,1
M438,R40,Poriyal,Stir-fried vegetables,80,low,Traditional Tamil,true,1
M439,R40,Kootu,Lentil and vegetable stew,90,low,Traditional Tamil,true,1
M440,R40,Mor Kuzhambu,Yogurt-based curry,100,medium,Traditional Tamil,true,1
